Geographic code,Geographic name,Global non-response rate,Data quality flag,"Total - Highest certificate, diploma or degree[1]","No certificate, diploma or degree",Secondary (high) school diploma or equivalency certificate[2],"Apprenticeship or trades certificate or diploma[3],[4]","College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above[5]"
1,Canada,5.1,20000,100,11.5,23.7,10.8,22.4,3.1,28.5
10,Newfoundland and Labrador,6.8,0,100,15.7,22.7,12.5,28.5,2.3,18.3
11,Prince Edward Island,5.6,0,100,12,25.1,8.4,28.2,2.5,23.7
12,Nova Scotia,5.5,0,100,12.2,23.5,10.6,25.9,2.3,25.5
13,New Brunswick,4.9,0,100,13.9,28.5,9.4,26.1,1.9,20.2
24,Quebec,4.3,20000,100,13.3,18.5,19.8,19,3.8,25.5
35,Ontario,4.6,20000,100,10.4,24.5,6.2,24.7,2.4,31.9
46,Manitoba,5.3,0,100,14.4,27.9,8.2,21.1,3.2,25.2
47,Saskatchewan,6.3,0,100,12.2,29.7,11.8,20.3,3.4,22.5
48,Alberta,6.1,20000,100,10.8,25.2,10.6,22,3.2,28.2
59,British Columbia,6.1,20001,100,9.6,26.5,9.1,20.9,3.9,29.9
60,Yukon,6.8,101,100,10.7,20.9,11.4,23.7,3.2,30.1
61,Northwest Territories,8.8,101,100,20.5,19.4,11.1,21.7,2.8,24.5
62,Nunavut,8.7,101,100,41,14.6,9.6,19.3,1.2,14.3
